avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,povertyPercent,studyPerCap,MedianAge,AvgHouseholdSize,PercentMarried,PctPrivateCoverage,PctPublicCoverage,BirthRate,region
469,164.9,489.8,61898,11.2,499.7482038,39.3,2.54,52.5,75.1,32.9,6.118831029,West
70,161.3,411.6,48127,18.6,23.11123437,33,2.34,44.5,70.2,31.1,4.333095578,West
50,174.7,349.7,49348,14.6,47.56016361,45,2.62,54.2,63.7,42.1,3.729487817,West
202,194.8,430.4,44243,17.1,342.6372526,42.8,2.52,52.7,58.4,45.3,4.603840773,West
26,144.4,350.1,49955,12.5,0,48.3,2.34,57.8,61.6,44,6.796657382,West
152,176,505.4,52313,15.6,180.259902,45.4,2.58,50.4,60,43.2,4.964476021,West
97,175.9,461.8,37782,23.2,0,42.6,2.42,54.1,49.5,46.4,4.204317269,West
71,183.6,404,40189,17.8,0,51.7,2.24,52.7,55.8,50.9,5.889178996,West
36,190.5,459.4,42579,22.3,0,49.3,2.38,55.9,55.5,48.1,5.587583149,West
1380,177.8,510.9,60397,13.1,427.7484318,35.8,2.65,50,69.9,31.4,5.533430211,West
36,121.4,413.3,54721,12.7,0,54.4,2.04,56.8,67.2,41.6,4.586129754,West
269,172.7,499.3,51395,15.7,837.1222691,41,2.56,53.6,64.4,38.1,5.818153266,West
26,188.3,398.9,52673,12.6,0,45.2,2.49,54.4,64.4,36.1,4.805591962,West
1118,165.3,493.4,71890,9.9,138.5111476,37.6,2.68,52.1,73.3,25.9,4.729251068,West
901,171,440.7,50083,16.3,462.3735856,37.2,2.45,49.4,65.2,36.5,5.355835918,West
106,174.2,423.8,43823,19.3,0,46.2,2.44,57.2,58.3,45.8,3.631082062,West
483,169.9,495.9,61653,11.9,207.7644545,38.5,2.52,52.4,74.5,30.7,5.180155167,West
12,153.8,463.2,51022,13.9,0,52.1,2.31,53.5,64.7,49.7,0.535475234,West
120,162.8,442.5,49819,15.7,464.0525042,36.9,2.5,46.5,65.7,38,4.138710893,West
367,163.3,490.9,53733,15.7,249.6655424,36.5,2.53,47.5,68.7,31.9,4.4729858,West
50,140.8,390.5,41837,28.4,0,24.2,2.31,36.1,78.3,22.9,3.304159034,West
403,169.4,411,44342,20.5,301.4106016,32.5,3.05,48.6,54.6,35.7,6.560611666,West
41,189.7,445.2,35615,21.5,0,41.5,2.68,52,55.6,44.8,2.292860865,South
215,206.1,463.1,56737,13.2,89.3647063,38.4,0.0263,51.8,70,33.1,4.872468117,South
70,236.7,501.8,37625,22.1,0,41.9,2.5,55.2,60.2,46.3,4.220287661,South
40,196.3,396.6,33817,22.2,0,44.5,2.51,52.4,56.1,43.4,5.469020422,South
69,186.2,481.6,43572,15.1,0,45.9,2.26,50.3,68.3,39.7,4.970530452,South
237,194,483.4,34887,21.9,330.4283177,38.5,2.32,43,63.3,39,4.521925134,South
25,226.5,459.9,32162,21.8,0,47,2.44,55.7,52.4,46,4.780114723,South
26,212.9,591,32961,25.1,4938.271605,43.3,2.62,55.8,48.7,52,8.753056235,South
19,185.6,234,41838,17.4,0,43.7,2.85,45.8,55.2,45.2,6.016466118,South
137,217,457,36739,21.4,0,43.2,2.47,50.9,53.4,47.8,6.526136485,South
21,209.9,463.1,32705,28.9,0,38.4,2.4,43.2,61.3,39,2.328431373,South
22,128,356.3,41039,17,0,45.6,0.028,50.5,65.1,42.4,3.528435035,South
103,195.1,494.9,36996,21.1,0,45.3,2.28,52.2,61.9,43,4.354354354,South
66,212.1,475.1,35980,21.2,0,44.6,2.25,38.7,50.5,44.7,2.28320067,South
85,184.1,495,48178,12.9,0,45.6,2.32,51.8,69.5,37.6,5.693029274,South
29,153,374.9,41010,15.3,0,44.5,2.69,50.1,65.8,38.2,2.955003358,South
192,206.7,506.6,42121,13.9,160.0838257,42,2.48,52.4,64,39.5,5.060383303,South
78,194.2,475.8,41121,16.7,0,42.6,2.62,54.5,66.9,40.6,4.735242361,South
101,178.2,423.7,66950,10.2,0,39.7,2.65,53.3,73.3,29.2,4.995519713,South
539,205.4,508.7,43936,16.8,191.1517958,42.8,2.28,47.9,66,39.4,4.091266719,South
50,218.4,553,40568,20,0,43.3,2.48,50.6,56.4,46.8,4.374100719,South
60,226.9,513.2,34295,24.4,46.69624095,41.9,2.69,50.6,51.7,52.6,2.635983264,South
113,240.1,523.9,36437,20.2,28.81263146,42.6,2.5,53.1,56.1,45.5,4.195713917,South
70,234.8,457.1,24707,34.9,0,44.1,2.39,46,39.7,58.5,3.860072376,South
144,188.8,510.9,43729,17.9,0,41.1,2.47,51,67.6,35.7,5.113459745,South
87,184.6,456.3,43356,15.2,0,44.3,2.36,57.7,70.3,37.5,3.174132305,South
78,209.5,463.4,35799,20.6,1146.576913,43,2.44,51.6,59.6,47.6,3.66910141,South
184,210,493.8,35046,20.5,81.74743313,42.3,2.39,50.6,56.4,48.2,4.807972069,South
76,198.4,456.6,40012,16.1,0,43.2,2.4,44.2,58.6,39.4,7.391231312,South
76,240.8,507,29839,28.1,0,41.7,2.38,55.6,51.6,50.9,2.796024928,South
132,155.9,444.5,43835,22.5,95.9361449,30,2.56,37.2,76.5,23.3,4.001671717,South
39,190.7,434.6,36351,19.3,0,46.6,2.3,56.8,60.5,45.2,6.07651913,South
52,209.7,425.4,44446,13,0,46.1,2.36,47.7,63.7,38.4,4.090035685,South
72,199.8,455.5,36375,19.6,0,43.4,2.39,57.9,61.6,44.1,3.346456693,South
123,184.4,500.9,40195,18.4,301.8622579,43.3,2.24,45.2,70.9,36.2,3.257226644,South
